id,job_category,title,company,city,salary_min,salary_max,salary_currency,source_url,skills,raw_excerpt
65,ai_application_dev,AI算法工程师,星网锐捷,福州,,,,https://starnet.zhiye.com/campus/jobs,"Python:must_have, C++:must_have, Linux:must_have, PyTorch:nice_to_have",AI算法工程师 / 校园招聘 / 全职 / 福建省·福州市 / 2026-08-28 发布 / 工作职责 / 1、参与人工智能相关算法的研发、优化及工程化落地 / 2、参与机器学习、深度学习模型的训练、评估、部署及性能优化 / 3、根据业务需求参与算法方案验证、效果分析及模型迭代优化 / 4、参与算法模型在实际产品或设备中的集成、适配及问题分析 / 5、参与数据处理、模型评测、Bad Case 分析及算法效果优化 / 6、跟踪人工智能领域的新技术、新模型和新方法，并结合实际业务进行学习、验证和应用 / 7、与算法、软件、产品及测试等团队协作，推动相关功能和项目落地 / 任职资格 / 1、计算机、人工智能、电子信息、自动化、通信、数学等相关专业，硕士
66,ai_application_dev,AI开发岗,吉利,杭州,,,,https://campus.geely.com/campus-recruitment/geely/78436/#/job/08e53dbb-2d71-44ee-bd68-895e8be81e65,"Python:must_have, LLM 应用开发:must_have, RAG:must_have, SFT/LoRA:must_have, 多模态:must_have, Linux:must_have, SQL:must_have, Git:must_have, PyTorch:must_have",AI开发岗 / 分享 / 吉利汽车集团|浙江·杭州市|IT/互联网类 / 申请职位 / 职位描述 / 职位描述： /  / 1、负责营销服业务场景AI算法研发与落地应用，聚焦智能客服、智能营销工具、智能销售助手、业务智能分析等核心产品模块的AI功能开发与迭代； /  / 2、承担大模型落地全流程工作，涵盖模型训练、微调所需的数据清洗、处理、标注、评测分析，持续优化数据集质量，保障大模型训练效果与落地稳定性； /  / 3、迭代优化大模型Fine-tuning微调策略，针对营销、客服、销售等具体业务场景，专项提升大模型场景适配度、输出准确率与实用性，解决场景落地痛点问题； /  / 4、负责LLM大模型、多模态大模型应用中台及核心技术模块的搭建、
68,ai_application_dev,2027届秋招-Java开发工程师,波克,上海,,,,https://boke.jobs.feishu.cn/581609/position/7673832049572497705/detail?share_token=MzsxNzg2OTQ4ODE5NjI0Ozc1Mzg3MzQxMjgwNzkyMjcxNTU7MDsxLzI,"Java:must_have, MySQL:nice_to_have, Redis:must_have",2027届秋招-Java开发工程师 / 上海正式研发 / 职位描述 / 你将参与游戏后端系统的设计与研发，支撑游戏业务稳定迭代。 / 1. 参与游戏业务与系统方案设计，负责后端核心业务逻辑实现，保障服务稳定可靠； / 2. 参与服务端架构、存储方案的讨论与落地，关注系统性能、并发能力； / 3. 使用各类 AI 辅助研发工具，能够甄别校验 AI 输出，完成二次迭代落地； / 4. 和策划、测试、客户端同学协同，共同推进产品落地，应对业务带来的各类技术挑战。 / 职位要求 / 我们希望你： / 1. 2027 届毕业生，本科及以上学历，计算机、软件工程等相关专业优先； / 2. 熟悉Java语言，熟悉Spring、Mybatis 等主流框
91,ai_application_dev,AI应用开发工程师【agent应用与平台方向】（27届有转正机会）,万兴科技,长沙,4500,8000,CNY,https://wondersharecampus.zhiye.com/intern/jobs,"Python:must_have, RAG:must_have, Function Calling:must_have, 上下文管理:must_have",AI应用开发工程师【agent应用与平台方向】（27届有转正机会） / 4.5K-8K 元/月 / 实习生招聘 / 实习 / 湖南省·长沙市 / 2026-08-18 发布 / 工作职责 / 1、负责 AI Agent 前沿技术、产品形态与核心组件的调研，包括工具调用、任务规划、记忆管理、上下文管理、知识库、可观测性等方向； / 2、结合垂类业务场景，理解并拆解 Agent 应用需求，输出技术架构、系统方案与技术选型； / 3、负责 Agent 独立组件或功能模块的研发与交付，包括但不限于知识库架构、RAG 检索链路、上下文管理、工具调用、工作流编排、可观测与质量评估等； / 4、负责 Agent 功能上线后的用户反馈、回流 cas
93,ai_application_dev,Agent开发实习生（AI 产品方向）,美团,成都,,,,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4306214875&highlightType=campus,"Python:nice_to_have, Java:nice_to_have, LLM 应用开发:nice_to_have, Prompt Engineering:must_have, 上下文管理:must_have, SQL:must_have, LangGraph:nice_to_have",Agent开发实习生（AI 产品方向） / 实习-日常实习 / 更新时间：2026/09/01 / 工作地点：成都市 / 部门：核心本地商业-美团平台 / 工作经验：不限 / 分享 /  / 部门介绍 / 美团平台为用户的基础产品体验负责，还承担了美团的用户增长、市场和品牌营销以及多条业务线的产品设计职责，建立了融合文字、图片、视频和直播等不同形式的內容生态系统，同时整合地图服务部、客户服务和体验部、企业业务部、网约车业务部等部门，致力于用科技提升美团数亿消费者、近千万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里有简单、讲逻辑、有爱的团队，更是一块理想的实战场地，
57,ai_platform,AI平台开发工程师-训推平台,小米,武汉,,,,https://xiaomi.jobs.f.mioffice.cn/campus/position/7680394017603356978/detail?spread=J7NS6YR,"Python:nice_to_have, Go:nice_to_have, C++:nice_to_have, Kubernetes:must_have, vLLM:nice_to_have, Shell 脚本:must_have, PyTorch:must_have",AI平台开发工程师-训推平台 / 武汉校招正式软件研发类2027届校园招聘计划 / 职位描述 / 1、参与AI平台K8S训练和推理组件的架构设计、产品开发； / 2、参与AI模型大规模分布式训练和推理架构和可观测性设计和开发； / 3、参与大语言模型预训练和后训练，分布式推理技术调研和测试。 / 职位要求 / 1、计算机相关专业本科及以上学历在读，具备扎实的计算机理论基础； / 2、熟悉Python/C++/Golang等其中一种编程语言，有熟练的Shell脚本编写技能； / 3、有强烈的上进心，自我驱动，学习适应能力强，乐观自信，能挑战自我不断追求卓越； / 4、有强烈的责任心和团队精神，善于沟通和合作； / 5、熟悉Kubernet
73,ai_platform,AI infra工程师（C++）-网易有道,网易有道,北京,,,,https://campus.163.com/app/detail/index?id=4857&projectId=103,"Python:must_have, C++:must_have, SFT/LoRA:nice_to_have, vLLM:must_have, AI Coding:must_have, PyTorch:must_have",AI infra工程师（C++）-网易有道 / 热招 / 网易互联网2027届校园招聘 / | / 杭州、北京 / | / 技术 / | / 2026-08-27 / 岗位描述 / 1、结合HPC和AI前沿技术，设计和优化大模型训练和推理框架，负责模型优化、算子优化、图优化、分布式优化等，提升计算效率； / 2、负责云侧或端侧大模型和小模型推理服务开发、性能优化、上线等工作。 / 岗位要求 / 1、本科及以上学历，计算机及相关专业优先； / 2、精通C/C++、python编程，熟悉常用数据结构； / 3、了解transformer的结构，了解模型训练、微调和推理的过程和原理； / 4、熟练使用AI Coding工具辅助开发，并能验证生成代码的正确性、性能
54,llm_fullstack,软件开发（AI方向）,奔图科技,广东省珠海市,,,,https://ninestar.zhiye.com/campus/detail?jobAdId=56b05783-cc1c-4f5d-a164-e4f459abb5f5,"Python:must_have, Java:must_have, RAG:must_have, MCP:must_have, Milvus:must_have, Chroma:must_have, Qdrant:must_have, Function Calling:must_have",软件开发（AI方向）/职能中心（2027届）(J16074) / 校园招聘 / 全职 / 广东省·珠海市 / 2026-08-25 发布 / 工作职责 / 1.负责企业级AI Agent应用的设计与开发，完成任务规划、工作流编排、记忆管理、工具调用、多Agent协同及人工确认等核心能力建设； / 2.负责企业知识库及RAG能力建设，包括文档解析、数据清洗、知识切分、向量检索与持续优化； / 3.负责Tool、Skill、MCP等AI工具链开发，通过API对接HR、OA等业务系统，推动Agent从信息问答向业务执行和任务闭环延伸； / 4.负责AI平台相关功能开发，包括Agent管理、工作流配置、知识库管理、模型接入、权限控制、日
55,llm_fullstack,AI全栈开发工程师,快手,北京,,,,https://campus.kuaishou.cn/recruit/campus/e/#/campus/job-info/13185,"Python:must_have, Java:must_have, AI Coding:must_have","AI全栈开发工程师 / 急招 /  / 全职 / 工程类 - 服务端 / 北京、杭州 / 2026-08-31 / 职位描述 / 1、借助AI编程工具，打破前端、后端、客户端的传统分工边界，端到端参与产品功能的开发与迭代——覆盖数据层、服务端到Web与移动端各层，在真实项目中全面打磨技术栈； / 2、深度使用AI编程工具，大幅提升开发效率，把精力从重复编码转向架构设计与业务价值实现，快速验证想法、推动功能高效迭代与落地； / 3、面向真实业务场景解决问题：提升核心业务指标、改进系统性能、保障线上稳定性，产出直接运行于生产环境、服务真实用户； / 4、在编码、重构、Bug排查等高频环节中持续把AI工具用作常规起点，拥有""先复核、再采用""的"
62,llm_fullstack,AI软件开发(J45407),纳真科技公司,青岛,,,,https://jobs.hisense.com/Campus/jobs?activityGuid=5a5aed1e-a4f1-465d-b574-d55ac19474b8&ActivityJumpPage=PortalPage,"Java:must_have, JavaScript:must_have, Docker:nice_to_have, Kubernetes:nice_to_have, MySQL:must_have, ReAct:must_have, Linux:nice_to_have, SQL:must_have",AI软件开发(J45407) / 校园招聘 / 山东省·青岛市 / 软件算法类 / 纳真科技公司 / 2026-08-22 发布 / 工作职责 / 1. 需求分析与方案设计 / 深入对接业务部门及产品团队，梳理复杂的报表逻辑与数据指标体系； / 负责数据应用场景的技术方案设计与评审，确保方案的可行性、扩展性与高性能。 / 2. 数据仓库与ETL开发 / 负责业务系统数据入湖/入仓工作，主导数据的抽取、清洗、转换（ETL）及加载流程； / 设计并优化数据调度任务，监控数据产出链路，保障数据的时效性、准确性与一致性。 / 3. 报表平台开发与交付 / 基于飞书、信数、Mendix等低代码/BI平台，完成复杂报表的后端数据处理逻辑及前端可视化样式开发； / 
77,llm_fullstack,AI全栈工程师 - 飞书项目,字节跳动,"杭州,北京",,,,https://jobs.bytedance.com/campus/position/7668271920346286341/detail,"Python:nice_to_have, Java:nice_to_have, Go:nice_to_have, TypeScript:nice_to_have, RAG:must_have, Prompt Engineering:must_have, MCP:must_have, MySQL:nice_to_have, Redis:nice_to_have, ReAct:nice_to_have, AI Coding:must_have",AI全栈工程师 - 飞书项目 / 杭州、北京 / 正式 / 研发 - 后端 / 2027届校园招聘 / 职位 ID：A32532 / 职位描述 / 团队介绍：飞书项目是专为复杂业务场景打造的专业项目管理平台，通过可视化AI 工作流引擎，帮助企业规范协作流程、提升执行效率。目前，飞书项目已服务多家先进企业，覆盖软件研发、硬件开发、企业经营管理等复杂协同场景，领跑研发项目管理数字化工具赛道。 /  / 1、参与飞书项目核心模块的前后端全链路研发，端到端负责功能设计、开发、测试与上线； / 2、不断探索各种新技术，参与系统架构演进、性能与稳定性优化，保障平台在大规模企业客户下的高可用； / 3、以AI为默认工作方式，深度实践AI Coding
